,input,output,expected
0,@kumbh rashi men janme log sambhavnaon se bhari ek jagah ke roop men duniya ko dekhte hain#,मुच्बी राशि# में# जनीन लॉग# संश्कालयन# शे भारा# ए# झगाई# के# ूपर# में# दुनायी# ूओड़ों देकाथ# हीं# ,@कुंभ राशि में जन्मे लोग संभावनाओं से भरी एक जगह के रूप में दुनिया को देखते हैं#
1,@iska ulat bhi satya hai#,इसका# उतल# भी# स्ताय# हि# ,@इसका उलट भी सत्य है#
2,@kuch devta jo mukhyatah nagar devta the apne sampradayvalon ke chalte gun aur karya mein vishisht samjhe gaye aur unki mahatta sarvopati samjhi gayi#,चूं# देवता# ूज़ो# ्युलफ़ीचात# नागारा# देवता# ते# अपने# संयोधवालम्रापा के# कालादीफ़ी ूपनी उर# कर्डक में# ीचिष्ठ शाज्महीं गये# उर# उनकी# महात्त# सर्तवों# शन्यभीत गीय# ,@कुछ देवता जो मुख्यत नगर देवता थे अपने संप्रदायवालों के चलते गुण और कार्य में विशिष्ट समझे गए और उनकी महत्ता सर्वोपरि समझी गई#
3,@tel ke utpadan men sansar men romania ka chhath sthan hai#,तेर# के# उत्पर# में# संसार# में# ्रोमैन# का# छट# श्राथ हि# ,@तेल के उत्पादन में संसार में रोमानिया का छठा स्थान है#
4,@banarasi lal se milkar police ne sara bhed praapt kar liya#,बनारीशार ला# शे मिलाव# ्लोपियन# णी# शपर बीद# परपूत# कर्# लिया# ,@बनारसी लाल से मिलकर पुलिस ने सारा भेद प्राप्त कर लिया#
5,@anya prakar ki ghatanaon ke prati beema ke samaan hi bachav nidhi dwara anya niveshak ko mudra nivesh ke liye bhugtan karana padta hai#,उन्दा प्रकार# कीं# झातांपनी के# प्रतीन# बेमादार के# सामान# ी# भाव# निरोध द्वार# उन्दा निवेशक# ूओड़ों मुद्र# नीफेश# के# लिये# भूतियाँ कनारा# ्राता# हि# ,@अन्य प्रकार की घटनाओं के प्रति बीमा के समान ही बचाव निधि द्वारा अन्य निवेशक को मुद्रा निवेश के लिए भुगतान करना पड़ता है#
6,@pandit shivkumar sharma#,पंडित# शिद्वामुराण शर्मा# ,@पंडित शिवकुमार शर्मा#
7,@unhe ek samuh ya ek samuday achha lagta hai to ve lagatar dusre login se ghire rahane ka prayas karte hain#,उन्हें ए# शुभार यह ए# सुमैड़े# चई लगता# हि# टोू# वे# लगपंड दूसर# लोगिन# शे घेरी# राहन# का# ्रकासाय# कर्टी हीं# ,@उन्हें एक समूह या एक समुदाय अच्छा लगता है तो वे लगातार दूसरे लोगों से घिरे रहने का प्रयास करते हैं#
8,@beebeesee hindi sanwaddaata dwara venkatraman ramkrishnan ka saakshatkar#,बीसीसी ीचिं# संदनवादात्री द्वार# ्येन्त्रकार्म# रामकृंषण# का# सकारवृद ,@बीबीसी हिन्दी संवाददाता द्वारा वेंकटरामन रामकृष्णन का साक्षात्कार#
9,@haan khoj kaa silsilaa na ruke#,हाँ# कोज# का# सिलियस न# ्रुकड़े ,@हाँ खोज का सिलसिला न रुके#
10,@harshali malhotra bal film abhinetri#,झरापहाह मलाहार्यों बाल# ्यालिशन अभिनेत्री# ,@हर्षाली मल्होत्रा बाल फ़िल्म अभिनेत्री#
11,@yah ek dhadhakne vala tara hai jismen achanak kuch minaton ke liye chamak badh jaati hai#,यह# ए# धाधारिकान वैला# तर# हि# जिनसी चानव# चूं# मीनोपित के# लिये# चाकालिक बाध# झाती# हि# ,@यह एक धधकने वाला तारा है जिसमें अचानक कुछ मिनटों के लिए चमक बढ़ जाती है#
12,@bharat ki rashtriy cricket team ne  ke mausam men australia ka daura kiya aur  test match khelen#,भरा# कीं# राष्ट्रीय चेरिक्ट्र तिमा णी# के# मौसाम# में# दस्त्रुसार का# दुरा# किया# उर# तेस्ट# मज# खेलों# ,@भारत की राष्ट्रीय क्रिकेट टीम ने  के मौसम में ऑस्ट्रेलिया का दौरा किया और  टेस्ट मैच खेले#
13,@sansadhanon aur anya vyaavhaarik muddon ke karan puratatvavid apni ichchhaanusaar jab chahen v jahan chahen utkhanan nahin kar paate#,शनसंधारों उर# उन्दा व्यावहार# मुद्दों# के# कनार# पुरातात्विव# अपनी# इच्चारवित# जब# चानवी वं# झापना चानवी उत्खन# नची# कर्# पाती ,@संसाधनों और अन्य व्यावहारिक मुद्दों के कारण पुरातत्वविद अपनी इच्छानुसार जब चाहें व जहां चाहें उत्खनन नहीं कर पाते#
14,@saman nagrik sanhita athva samaan aachar sanhita ka arth ek dharmniripeksh sekyular kanun hota hai jo sabhi dharm ke logon ke liye samaan roop se lagu hota hai#,सामान# नागरिक# शनिराह उथवा# सामान# आचार# शनिराह का# र्ष# ए# ध्यांस्कृप्रिं सेकभार्यु कनीन ूठिया हि# ूज़ो# शभी# ध्रम# के# लोगो# के# लिये# सामान# ूपर# शे लगुई# ूठिया हि# ,@समान नागरिक संहिता अथवा समान आचार संहिता का अर्थ एक धर्मनिरपेक्ष सेक्युलर कानून होता है जो सभी धर्म के लोगों के लिये समान रूप से लागू होता है#
15,@bhagwan shiv ke jyorti lingon ki kathaa ishan kalp ke vrittaant sarvavisarga aadi dashaa lakshnon sahit varnit hai#,भगवान# शि# के# ूज़ाइडर# ्लिंग# कीं# कथा# इशन# कलपी# के# ्यूर्पितिता शफ़ेसरव्यमिर दाय# दशा# लक्षण# शहित वर्णिट# हि# ,@भगवान शिव के ज्योर्ति लिंगों की कथा ईशान कल्प के वृत्तान्त सर्वविसर्ग आदि दशा लक्षणों सहित वर्णित है#
16,@khajuraho ki anupm lalitkala aur sthaapatya bhi isi ki upaj hain#,खजुराहों# कीं# उन्पि लतलकाली# उर# श्तात्रा# भी# इसी# कीं# उपयंश हीं# ,@खजुराहो की अनुपम ललितकला और स्थापत्य भी इसी की उपज हैं#
17,@wakpati munj ka kaal parmaron ke liye gaurav ka kaal tha#,्काप्रति# मऊजनी का# कल# परमाण्डर के# लिये# गुराण# का# कल# था# ,@वाक्पति मुंज का काल परमारों के लिए गौरव का काल था#
18,@dusre patr ke prashno ke jarie pariksharthiyo ke sanvad kaushal bhashayi gyan nirnay va vishleshan kshamta aur mansik dakshta yani vyaktitva va uske rujhano ki padatala hogi#,दूसर# परत# के# प्रश्न# के# जरी# परिश्रिषोताधारा के# नानवर्द कौशाली भाषिय# ़िब्दान निर्दयर वा# ्कीशनस शन्यभूत उर# मंस# दक्षता# यनी# ्वृतकायित्व वा# उसकी रुजानो# कीं# ्रत्याला# ूधि ,@दूसरे पत्र के प्रश्नों के जरिए परिक्षार्थियों के संवाद कौशल भाषायी ज्ञान निर्णय व विश्लेषण क्षमता और मानसिक दक्षता यानी व्यक्तित्व व उसके रुझानों की पड़ताल होगी#
19,@apne marijon ka varnan ek vishisht smruti ke kshinkaran vale marij aur dhiredhire utpann hone vali avdharanaon ke roop mein karte huye charcott ne gyan sambandhi parivartanon ko bhi avlokit kiya#,अपने# मैरोजन# का# वर्नान# ए# ीचिष्ठ मिर्तु# के# शिरोभावना# वैले मरिस# उर# धूरेधीरे# उत्पन्न# ूहने# वैली# अद्धारवानों के# ूपर# में# कर्टी ूपी# चर्योंतित णी# ़िब्दान शामाधीबंधी परिवर्तनाद्रों ूओड़ों भी# उत्पिकों किया# ,@अपने मरीजों का वर्णन एक विशिष्ट स्मृति के क्षीणकरण वाले मरीज और धीरेधीरे उत्पन्न होने वाली अवधारणाओं के रूप में करते हुए चार्कोट ने ज्ञान संबंधी परिवर्तनों को भी अवलोकित किया#
20,@jab vasudev ki aathvi santaan kanya hoti hai tab bhi use sandeh hota hai#,जब# वैपुडवे कीं# आव्‍ठ# संतन# कन्या# ूठी# हि# तब# भी# उसे संधद ूठिया हि# ,@जब वसुदेव की आठवीं संतान कन्या होती है तब भी उसे संदेह होता है#
21,@isase santuth hokar indradi devta apne apne stanon ko waapas chale gaye#,इससे# शन्तुल# ुड़कर# इन्द्रियाई# देवता# अपने# अपने# ट्टानों ूओड़ों वशप कलावादी गये# ,@इससे सन्तुष्ट होकर इन्द्रादि देवता अपने अपने स्थानों को वापस चले गये#
22,@aavart sarni#,आरत्व# शरीन# ,@आवर्त सारणी#
23,@kans se mukti paane ka upay sujhate hue vah nand se kehti hai sabse pehle praja ki chetna ko kans ke karagar se mukt karna hoga#,कंस# शे मुक्ति# पना# का# उपय# थुजाद्त# ूहे# वह# नंदि शे केहरी हि# सबसी पेहले# प्राज़ा# कीं# क्षेणा# ूओड़ों कंस# के# करगपर शे मुक्त# कनार# ुई# ,@कंस से मुक्ति पाने का उपाय सुझाते हुए वह नंद से कहती है सबसे पहले प्रजा की चेतना को कंस के कारागार से मुक्त करना होगा#
24,@iska sabse pehla prayog  ke dashak me karl jansky karl jansky namak americi khagolshastri ne kiya tha jab unhone akashaganga hamari galaxy se vikiran radiation aate hue dekha#,इसका# सबसी पेखा# प्रायोग# के# दशक# में# कर्ल# जनसिक कर्ल# जनसिक नकाल# अमेरिकी# खगोलशास्त्री णी# किया# था# जब# उन्होंने अक्षिणपा हालारी# लाक्याली शे विकीचरण राइड्रियन# आती ूहे# देखा# ,@इसका सबसे पहला प्रयोग  के दशक में कार्ल जैन्सकी karl jansky नामक अमेरिकी खगोलशास्त्री ने किया था जब उन्होंने आकाशगंगा हमारी गैलेक्सी से विकिरण रेडियेशन आते हुए देखा#
25,@hai#,हि# ,@है#
26,@aur akhirakar  me captain mountgumri do aise log mil hi gae#,उर# खिराज# में# कप्रियति मोर्निगपुज दो ैसे लॉग# मिल# ी# गीप ,@और आखिरकार  में कैप्टन माउंटगुमरी दो ऐसे लोग मिल ही गए#
27,@sann  tak ise ginij book off rcords america men ginij book off world records ke naam se jana jata tha#,नं# तका# इसे# ीरजिन# बोको# ॉफीएन ॉस्पिडर# अमेरिका# में# ीरजिन# बोको# ॉफीएन ्यूरॉद्र रिपिंड्स के# नामा# शे झना# झता था# ,@सन्  तक इसे गिनीज़ बुक ऑफ रिकॉर्ड्स अमेरिका में गिनीज़ बुक ऑफ़ वर्ल्ड रिकॉर्ड्स के नाम से जाना जाता था#
28,@bhagavata ke anusara raja janaka ke putra jinaki bahana sita aura urmila thim#,भागवता# के# णुसर# राजा# झनाकार के# पूत्राद ीड़किनी बहान# सिता# उरा# उप्मिनल ठिनी ,@भागवत के अनुसार राजा जनक के पुत्र जिनकी बहन सीता और उर्मिला थीं#
29,@bharatiy mor video#,भारतीय# ूरो# ीडब्दों ,@भारतीय मोर वीडियो#
30,@jab matapita donon men sikalcel lakshan as hote hain to ek bacche ko sikal cel rog ss hone ki  sambhavna hoti hai jaisa ki chitr men dikhaya gaya hai#,जब# मतप्त# दोनों# में# सकालियर# लकांश# अस# ूठे# हीं# टोू# ए# बच्चे ूओड़ों सिकल# केल# ्रोगो# श्स ूहने# कीं# शनिक्षम्र ूठी# हि# झासीआ# कीं# चितरी# में# दिखा# गय# हि# ,@जब मातापिता दोनों में सिकलसेल लक्षण as होते हैं तो एक बच्चे को सिकल सेल रोग ss होने की  संभावना होती है जैसा कि चित्र में दिखाया गया है#
31,@ise chhattisgarah men kusli#,इसे# छट्रस्थागा# में# कुलपी ,@इसे छत्तीसगढ़ में कुसली#
32,@beej se tel nikala jaata hai#,बीजे शे तेर# नीकाला# झाता# हि# ,@बीज से तेल निकाला जाता है#
33,@london ke aspas ki bhumi kent sare tatha sussex rajdhani ki fal tarkariyo tatha dudh adi ki mang ki purti ke lie adhik prayukt hoti hai#,्लोरोनों के# असपास# कीं# भूमि# केंट्राइ सरे# तथा# सुस्केट राजनीय# कीं# फल# तकारियों# तथा# दुद# अदी# कीं# मंग# कीं# पूर्ति के# ली# उधिक प्रयुक्त# ूठी# हि# ,@लंदन के आसपास की भूमि केंट सरे तथा ससेक्स राजधानी की फल तरकारियों तथा दूध आदि की मांग की पूर्ति के लिए अधिक प्रयुक्त होती है#
34,@iske alawa vanijyik card vyapak data aur reporting samadhan prastaavit karta hai jo karmachaari ke kharcha par najar rakhne aur unpar niyantran rakhne mein grahakon ki sahaayata kartaa hai#,इसके ला# वैंकिज्# चरद्र व्यापिक दता# उर# रेपोरत# शाधानमार प्रत्स# कर्ता# हि# ूज़ो# कन्द्रहिरा के# छर्य# पर# नाराज# रांचार्ड उर# उन्पर# निर्धयात्रण रांचार्ड में# ग्राहकों कीं# शायाम# करता# हि# ,@इसके अलावा वाणिज्यिक कार्ड व्यापक डेटा और रिपोर्टिंग समाधान प्रस्तावित करता है जो कर्मचारी के खर्च पर नज़र रखने और उनपर नियंत्रण रखने में ग्राहकों की सहायता करता है#
35,@rog prakop ke pahle sanket ya bayoterijm hamle ke nidaan chikitsak ya prayogshala se nishchit nahin kiya ja sakta hai#,्रोगो# प्रकारों के# पहले संकृत यह बातित्वोदों हमले# के# नीदार# क्याकिस्तान# यह ्रृष्‍पागोहन शे निष्कित# नची# किया# झा सकात्र हि# ,@रोग प्रकोप के पहले संकेत या बायोटेरिज़्म हमले के निदान चिकित्सक या प्रयोगशाला से निश्चित नहीं किया जा सकता है#
36,@ek lal bandana ke alava sparrow apne balon men kai tarah ki cheej lagata hai jo keith richards ki apni yatraon ke jariye smruti chinhon ko jutane ki adat se prabhavit hai sparrow ki sajavaton men unka aath k tukda bhi shamil hai#,ए# ला# बन्दनार के# अफ़ाई# स्पैरोव# अपने# बालों# में# की तरहा# कीं# कहेजे# लगाता# हि# ूज़ो# केरठ रिषदर्# कीं# अपनी# ्यार्ताओं# के# जरीकी मिर्तु# चीआनओं# ूओड़ों जूटने# कीं# उदा# शे प्रभावित# हि# स्पैरोव# कीं# सुधावकों में# उनका# आठी# क# तुरदाक# भी# शाली# हि# ,@एक लाल बन्डाना के अलावा स्पैरो अपने बालों में कई तरह की चीज लगाता है जो कीथ रिचर्ड्स की अपनी यात्राओं के जरिये स्मृति चिह्नों को जुटाने की आदत से प्रभावित है स्पैरो की सजावटों में उनका आठ का टुकड़ा भी शामिल है#
37,@almoda mein  april  ko gorkha pratinidhi bamshah aur leftinent colonel gardener ke bich hui ek sandhi ke baad nepali shaasak ne is kshetra se hat jane ko svikara aur is kshetr par east india company ka adhikaar ho gaya#,ल्लोड़ा# में# अप्रैल# ूओड़ों घोरका# प्रतिनिधि बामहस# उर# लेक्ट्रेट# ॉकलोनीक गर्णदेर# के# बीच ूही# ए# शन्धी# के# बाद# नीपुल# शासाय# णी# इस# शिप्रसाद शे हत# जनी# ूओड़ों स्वीकारी उर# इस# श्चार्ट्स पर# एस्ट# इन्दि ॉनियमंप का# उधिका# ूह# गय# ,@अल्मोड़ा में  अप्रैल  को गोरखा प्रतिनिधि बमशाह और लेफ्टिनेंट कर्नल गार्डनर के बीच हुई एक संधि के बाद नेपाली शासक ने इस क्षेत्र से हट जाने को स्वीकारा और इस क्षेत्र पर ईस्ट इण्डिया कंपनी का अधिकार हो गया#
38,@bhumi sampatti#,भूमि# संपत्ति ,@भूमि संपत्ति#
39,@imam muslim ke guru aur shishyon ka varnan  happy books#,इमाम# मुस्लिम# के# ूपरिण उर# शिष्णों# का# वर्नान# हप्रिक इबोक्स# ,@इमाम मुस्लिम के गुरु और शिष्यों का वर्णन  हैप्पी बुक्स#
40,@rashtramandal nagrikta ki avdharna tab se astitv me hai jab se rashtrmandal rashtro ki sthapna hui hai#,्रांस्स्कृत नागरिकता# कीं# अद्धारण्# तब# शे अस्तित# में# हि# जब# शे ्रांस्कृति राष्ट्रीय कीं# श्रात्‍चा ूही# हि# ,@राष्ट्रमंडल नागरिकता की अवधारणा तब से अस्तित्व में है जब से राष्ट्रमंडल राष्ट्रों की स्थापना हुई है#
41,@vibhinna rashtriya evam anarrashtriy journal patra ptarikaon men kai lekh anekon shodhpatra prakashit#,विभिन्न# राष्ट्रीय# वीम# णराषण# ूजली# परता# प्रतियां# में# की लेख# अनेकों# शोधारपूथी प्रकाशित# ,@विभिन्न राष्ट्रीय एवं अंतर्राष्ट्रीय जर्नल पत्र पत्रिकाओं में कई लेख अनेकों शोधपत्र प्रकाशित#
42,@se  tak united kingdom vishesh bal me chayan ke baad unhone united kingdom viesh bal ke  regiment vishes vaayu seva  sas r ke sath ghudsawar sipahi jeevanraksha prashikshk aur gashti chikitsak ke roop men anshkaalin seva kii#,शे तका# उन्देवी किंग्रोंड विश्धित बाल# में# चयानापी के# बाद# उन्होंने उन्देवी किंग्रोंड विश्ध बाल# के# रेकंगित विशेष# वैया# सेवा# शास र# के# शाठ# घूर्डवित# शिपि# जेवश्रेषण# प्राशक्लिश# उर# घास्त्री क्याकिस्तान# के# ूपर# में# अंसाधिकाँ सेवा# कीची ,@से  तक यूनाइटेड किंगडम विशेष बल में चयन के बाद उन्होंने यूनाइटेड किंगडम विशेष बल के  रेजिमेंट विशेष वायु सेवा  sas r के साथ घुड़सवार सिपाही जीवनरक्षा प्रशिक्षक और गश्ती चिकित्सक के रूप में अंशकालीन सेवा की#
43,@apne pahale abhiyan ke safal hone ke baad rameses ne apne shasan kal ke panch varsh par kadesh nagar par hamla kiya jo hitite samrajya ka adhin tha par pahale seti pram ke adhin tha#,अपने# पहले# अभिनवी के# लाफ़ाईफ ूहने# के# बाद# रामेसीवी णी# अपने# शासन# कल# के# पंचना वर्ष# पर# कदेश# नागारा# पर# हमला# किया# ूज़ो# ीतित्री संदर्याज का# उधनी# था# पर# पहले# सेती# प्राय# के# उधनी# था# ,@अपने पहले अभियान के सफल होने के बाद रामेसेस ने अपने शासन काल के पाँचवे वर्ष पर कादेश नगर पर हमला किया जो हित्तिते साम्राज्य का अधीन था पर पहले सेती प्रथम के अधीन था#
44,@ek aethnoaakiyolojikal tulna karte huye we batate hain ki uttarmadhy alaska ke nyunamyut askimo shikari apne shikar ki pratiksha karte huye kaise samay vyatit karte the tatha us samay ke dauran we samay vyatit karne ke liye kis prakar ke kary karte the jinmen vividh vastuon par nakkashi jaise ki kasht ke sanche mukhaute sing ki chmmchen hathidant ki sui ke sath sath chamde ke thailon ttatha harin ki khal se bane mojon ki marmmat aadi sammilit the#,ए# अंतोपनोहांकोदयोगीत तुलाना# कर्टी ूपी# वे# बतात्रिय हीं# कीं# उत्तरछाद लस्का# के# न्यूयनमत# असकीमों शिकारिय# अपने# शिकार# कीं# प्रतिक्ष# कर्टी ूपी# केसिय# सामानी ्यूटाइड# कर्टी ते# तथा# उस# सामानी के# दुरान# वे# सामानी ्यूटाइड# कन्द्र के# लिये# किसी प्रकार# के# कर्ड कर्टी ते# ेम्मस# विविध# वैस्टोन पर# नक्षिणी# जैसी# कीं# कछट के# शनचेर ्युकफ़ूली# शिंग कीं# चंचमीव झतना# कीं# सुई# के# शाठ# शाठ# चाडमी के# थॉla# तता# रिण# कीं# खाल# शे बने# मोजन# कीं# मरम्माति दाय# स्मलितित ते# ,@एक एथनोआर्कियोलॉजिकल तुलना करते हुए वे बताते हैं कि उत्तरमध्य अलास्का के न्यूनाम्यूट एस्किमो शिकारी अपने शिकार की प्रतीक्षा करते हुए कैसे समय व्यतीत करते थे तथा उस समय के दौरान वे समय व्यतीत करने के लिए किस प्रकार के कार्य करते थे जिनमें विविध वस्तुओं पर नक्काशी जैसे कि काष्ठ के सांचे मुखौटे सींग की चम्मचें हाथीदांत की सुई के साथ साथ चमड़े के थैलों तथा हरिण की खाल से बने मोजों की मरम्मत आदि सम्मिलित थे#
45,@chalna firna bhi is mausam me kashtdaayak ho jaata hai#,चलनाा ्रिरादान# भी# इस# मौसाम# में# कालपुरदाद ूह# झाता# हि# ,@चलना फिरना भी इस मौसम में कष्टदायक हो जाता है#
46,@crystaliy thos sadharan tah laghu crystalon ki atyadhik sankhya se bana hota hai unmen pratyek ka nischit jyamitiy aakar hota hai#,कृत्यसभा ठोस# शदर्धारा था# लगुरी कृष्ट्रोण कीं# उत्याधिक# संख्य# शे बना# ूठिया हि# उनमें# ्राकृतिक का# णिष्# ्यादुस्की आकार# ूठिया हि# ,@क्रिस्टलीय ठोस साधारणत ः लघु क्रिस्टलों की अत्यधिक संख्या से बना होता है उनमें प्रत्येक का निश्चित ज्यामितिय आकार होता है#
47,@maada ke sir aur gale par bhura rang nahi hota hai#,माद# के# शिर# उर# लाले# पर# भूरा# रंग# नाही# ूठिया हि# ,@मादा के सिर और गले पर भूरा रंग नहीं होता है#
48,@uddhrishyati koutilya sabha dwadshim sutann#,उद्धांत# ोओक्युलता# शभा द्वदेशी ल्टैन# ,@उद्धरिष्यति कौटिल्य सभा द्वादशीम सुतान्#
49,@unke upanyaason ki bhasa ki khubi yah hai ki shabdon ke chunaav evam vaakyayojanaa ki dristi se use saral evam bolchaal ki bhasa kaha jata hai#,उनके# उप्‍णास# कीं# भाषा# कीं# खबूब# यह# हि# कीं# साबोदन# के# चुनाव# वीम# वाक्योजियाना कीं# दृष्टि# शे उसे सराला# वीम# ्लोचीभ कीं# भाषा# कहा# झता हि# ,@उनके उपन्यासों की भाषा की खूबी यह है कि शब्दों के चुनाव एवं वाक्ययोजना की दृष्टि से उसे सरल एवं बोलचाल की भाषा कहा जाता है#
